epoch,train_loss,val_loss,precision,recall,f1_score
1,2.1997160946365693,2.795314556360245,0.25335948032367706,0.13498402555910544,0.11089697371757996
2,1.4762036356612713,1.4183075368404388,0.6661590647730032,0.5870607028753994,0.5863624255889732
3,1.0516546494769354,1.004085862636566,0.6922302175001718,0.6876996805111821,0.6826819989658085
4,0.7836807441972468,0.8203612137585878,0.7491388436896838,0.7380191693290735,0.7380325746325717
5,0.5980802844040585,0.7395107679069042,0.7720002485580226,0.762779552715655,0.7616946886421423
6,0.4634717157939925,0.6445155620574952,0.8038325163051804,0.799520766773163,0.7994959280736587
7,0.3680274338073974,0.702973511442542,0.8084066597879643,0.7987220447284346,0.8002365549772006
8,0.27020106883379663,0.5878549516201019,0.8325859387773991,0.8322683706070287,0.8310967818138901
9,0.22023318221207952,0.6531679928302765,0.8220519713661221,0.8146964856230032,0.8156483924529716
10,0.20544927113138847,0.5727021545171738,0.8324852277776132,0.8306709265175719,0.8301593489114468
11,0.15297154153622414,0.633764649555087,0.8399594761307241,0.8362619808306709,0.8368422829007817
12,0.12639979438951415,0.7249461703002453,0.8324449567291907,0.8298722044728435,0.8290878708984962
13,0.12778046427389783,0.7211125012952835,0.8404310417810886,0.8346645367412141,0.8339587641523567
14,0.09826097864467297,0.6010276053100825,0.8464282660091008,0.8434504792332268,0.8420700000867396
15,0.08451787868759385,0.5991370922885835,0.8623535283498013,0.8610223642172524,0.860033079225725
16,0.0598998961997402,0.5673814944922924,0.8669391831097527,0.865814696485623,0.8646995726913858
17,0.0645978115940888,0.5615237321704626,0.8580714395699094,0.8570287539936102,0.8556267495991544
18,0.04402668926232651,0.5324867341667414,0.8800970589741629,0.8793929712460063,0.8784981760829668
19,0.040756679315079196,0.5396035332232714,0.8700951575289596,0.8706070287539937,0.8698447706477025
20,0.039741617561161624,0.554108715057373,0.881913103400242,0.8817891373801917,0.8804624393133105
21,0.03194676993336583,0.550627576559782,0.8797431239097706,0.8793929712460063,0.8787369872830033
22,0.02548579597568656,0.5331981934607029,0.8867452743482134,0.8865814696485623,0.8860410126662842
23,0.03190350898857616,0.545239677047357,0.8798807536572595,0.8793929712460063,0.8786530165370685
24,0.022944967110767062,0.5356174316257238,0.8779814224590403,0.8777955271565495,0.8770710007576719
25,0.024162014633209793,0.5339330438524484,0.8820103431619685,0.8817891373801917,0.8812643975046096
26,0.020515869440847368,0.5290621772408486,0.8820196982791385,0.8825878594249201,0.8816937722984926
27,0.02030123463563322,0.5343879921361804,0.8830077000545244,0.8833865814696485,0.8825691914351566
28,0.019211850015201818,0.5337314959615469,0.8821182429798082,0.8825878594249201,0.881731027468457
29,0.018116602772272387,0.5335319568403065,0.880707223444433,0.8809904153354633,0.8801631147046062
30,0.019835025880844365,0.5321051998063921,0.8832449280417527,0.8833865814696485,0.8826476737228136

Total Training Time (minutes):,206.61
